Timestamp,true value,strategy1
12/26/2018 9:00,0.622119816,0.0
12/26/2018 10:00,0.487804878,0.0
12/26/2018 11:00,0.492366412,0.0
12/26/2018 12:00,0.34079602,0.0
12/26/2018 13:00,1.0,0.0
12/26/2018 14:00,1.0,0.0
12/26/2018 15:00,1.0,0.0
12/26/2018 16:00,1.0,0.0
12/26/2018 17:00,1.0,0.0
12/26/2018 18:00,1.0,0.0
12/26/2018 19:00,1.0,0.0
12/26/2018 20:00,1.0,0.0
12/26/2018 21:00,1.0,0.0
12/26/2018 22:00,1.0,0.0
12/26/2018 23:00,1.0,0.0
12/27/2018 0:00,1.0,0.0
12/27/2018 1:00,0.733850129,0.0
12/27/2018 2:00,0.699186992,0.0
12/27/2018 3:00,0.612704918,0.0
12/27/2018 4:00,0.63902439,0.0
12/27/2018 5:00,0.827338129,0.0
12/27/2018 6:00,0.793220339,0.0
12/27/2018 7:00,0.683804627,0.0
12/27/2018 8:00,0.589595376,0.0
12/27/2018 9:00,0.488888889,0.0
12/27/2018 10:00,0.423580786,0.0
12/27/2018 11:00,0.328571429,0.0
12/27/2018 12:00,0.376012966,0.0
12/27/2018 13:00,1.0,0.0
12/27/2018 14:00,1.0,0.0
12/27/2018 15:00,1.0,0.0
12/27/2018 16:00,1.0,0.0
12/27/2018 17:00,1.0,0.0
12/27/2018 18:00,1.0,0.0
12/27/2018 19:00,1.0,0.0
12/27/2018 20:00,1.0,0.0
12/27/2018 21:00,1.0,0.0
12/27/2018 22:00,1.0,0.0
12/27/2018 23:00,1.0,0.0
12/28/2018 0:00,1.0,0.0
12/28/2018 1:00,0.652777778,0.0
12/28/2018 2:00,0.600885515,0.0
12/28/2018 3:00,0.594216867,0.0
12/28/2018 4:00,0.609375,0.0
12/28/2018 5:00,0.597468354,0.0
12/28/2018 6:00,0.600401606,0.0
12/28/2018 7:00,0.571633238,0.0
12/28/2018 8:00,0.592300099,0.0
12/28/2018 9:00,0.591522158,0.0
12/28/2018 10:00,0.632075472,0.0
12/28/2018 11:00,0.471428571,0.0
12/28/2018 12:00,0.3828125,0.0
12/28/2018 13:00,1.0,0.0
12/28/2018 14:00,1.0,0.0
12/28/2018 15:00,1.0,0.0
12/28/2018 16:00,1.0,0.0
12/28/2018 17:00,1.0,0.0
12/28/2018 18:00,1.0,0.0
12/28/2018 19:00,1.0,0.0
12/28/2018 20:00,1.0,0.0
12/28/2018 21:00,1.0,0.0
12/28/2018 22:00,1.0,0.0
12/28/2018 23:00,1.0,0.0
12/29/2018 0:00,1.0,0.0
12/29/2018 1:00,0.583333333,0.0
12/29/2018 2:00,0.691275168,0.0
12/29/2018 3:00,0.617391304,0.0
12/29/2018 4:00,0.682634731,0.0
12/29/2018 5:00,0.637860082,0.0
12/29/2018 6:00,0.673076923,0.0
12/29/2018 7:00,0.772727273,0.0
12/29/2018 8:00,0.529069767,0.0
12/29/2018 9:00,0.486935867,0.0
12/29/2018 10:00,0.599406528,0.0
12/29/2018 11:00,0.560416667,0.0
12/29/2018 12:00,0.233576642,0.0
12/29/2018 13:00,1.0,0.0
12/29/2018 14:00,1.0,0.0
12/29/2018 15:00,1.0,0.0
12/29/2018 16:00,1.0,0.0
12/29/2018 17:00,1.0,0.0
12/29/2018 18:00,1.0,0.0
12/29/2018 19:00,1.0,0.0
12/29/2018 20:00,1.0,0.0
12/29/2018 21:00,1.0,0.0
12/29/2018 22:00,1.0,0.0
12/29/2018 23:00,1.0,0.0
12/30/2018 0:00,1.0,0.0
12/30/2018 1:00,0.632996633,0.0
12/30/2018 2:00,0.603174603,0.0
12/30/2018 3:00,0.608695652,0.0
12/30/2018 4:00,0.708955224,0.0
12/30/2018 5:00,0.656084656,0.0
12/30/2018 6:00,0.655172414,0.0
12/30/2018 7:00,0.651785714,0.0
12/30/2018 8:00,0.682926829,0.0
12/30/2018 9:00,0.581081081,0.0
12/30/2018 10:00,0.431421446,0.0
12/30/2018 11:00,0.274223035,0.0
12/30/2018 12:00,0.525773196,0.0
12/30/2018 13:00,1.0,0.0
12/30/2018 14:00,1.0,0.0
12/30/2018 15:00,1.0,0.0
12/30/2018 16:00,1.0,0.0
12/30/2018 17:00,1.0,0.0
12/30/2018 18:00,1.0,0.0
12/30/2018 19:00,1.0,0.0
12/30/2018 20:00,1.0,0.0
12/30/2018 21:00,1.0,0.0
12/30/2018 22:00,1.0,0.0
12/30/2018 23:00,1.0,0.0
12/31/2018 0:00,1.0,0.0
12/31/2018 1:00,0.856423174,0.0
12/31/2018 2:00,0.645933014,0.0
12/31/2018 3:00,0.703703704,0.0
12/31/2018 4:00,0.888888889,0.0
12/31/2018 5:00,0.735294118,0.0
12/31/2018 6:00,0.979591837,0.0
12/31/2018 7:00,0.659574468,0.0
12/31/2018 8:00,0.530864198,0.0
12/31/2018 9:00,0.311111111,0.0
12/31/2018 10:00,0.583892617,0.0
12/31/2018 11:00,0.389534884,0.0
12/31/2018 12:00,0.580786026,0.0
12/31/2018 13:00,1.0,0.0
12/31/2018 14:00,1.0,0.0
12/31/2018 15:00,1.0,0.0
