truth_value,adarel,sarima,SVR,Gaussian
0.973684211,0,0,0,0
1,0,0,0,0
0.986111111,0,0,0,0
0.994680851,0,0,0,0
1,0,0,0,0
0.944444444,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.992424242,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.913043478,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.652173913,0,0,0,0
1,0,0,0,0
0.983333333,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.982758621,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.944444444,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.928571429,0,0,0,0
1,0,0,0,0
0.12037037,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.988950276,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.991150442,0,0,0,0
0.985074627,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.111111111,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.994334278,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.978723404,0,0,0,0
1,0,0,0,0
0.080924855,0,0,0,0
1,0,0,0,0
0.953125,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.2,0,0,0,0
0.666666667,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.976744186,0,0,0,0
0.996363636,0,0,0,0
1,0,0,0,0
0.97826087,0,0,0,0
0.979166667,0,0,0,0
0.978723404,0,0,0,0
1,0,0,0,0
0.976470588,0,0,0,0
0.984126984,0,0,0,0
1,0,0,0,0
0.960591133,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.964285714,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.976190476,0,0,0,0
1,0,0,0,0
0.988095238,0,0,0,0
0.943925234,0,0,0,0
0.962025316,0,0,0,0
0.981651376,0,0,0,0
0.993453355,0,0,0,0
0.970815962,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.983606557,0,0,0,0
0.980263158,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.986921529,0,0,0,0
0.954545455,0,0,0,0
1,0,0,0,0
0.178451178,0,0,0,0
0.142208775,0,0,0,0
0.976744186,0,0,0,0
1,0,0,0,0
0.588235294,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.99009901,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.981481481,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.977272727,0,0,0,0
1,0,0,0,0
0.746384872,0,0,0,0
0.99960815,0,0,0,0
0.998514116,0,0,0,0
0.31443299,0,0,0,0
1,0,0,0,0
0.980769231,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.933333333,0,0,0,0
0.980769231,0,0,0,0
1,0,0,0,0
0.997067449,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.992125984,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.957142857,0,0,0,0
0.863636364,0,0,0,0
1,0,0,0,0
0.980769231,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.971428571,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.972972973,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.043735225,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.965517241,0,0,0,0
1,0,0,0,0
0.972222222,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.9375,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.954545455,0,0,0,0
1,0,0,0,0
0.988888889,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.963636364,0,0,0,0
1,0,0,0,0
0.916666667,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.99556541,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.813953488,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.958333333,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.049295775,0,0,0,0
1,0,0,0,0
0.958730159,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.986111111,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.974025974,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.962962963,0,0,0,0
0.956937799,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.9375,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.976190476,0,0,0,0
1,0,0,0,0
0.969325153,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.88372093,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.818181818,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.428571429,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.965517241,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.987951807,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.952380952,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.99,0,0,0,0
1,0,0,0,0
0.96875,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.970588235,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.047263682,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.981132075,0,0,0,0
0.971428571,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.836734694,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.954545455,0,0,0,0
0.979591837,0,0,0,0
0.990740741,0,0,0,0
1,0,0,0,0
0.989010989,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.994011976,0,0,0,0
0.047114252,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.948275862,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.987341772,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.994152047,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.941176471,0,0,0,0
0.973333333,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.99756691,0,0,0,0
0.965517241,0,0,0,0
1,0,0,0,0
0.916666667,0,0,0,0
1,0,0,0,0
0.996753247,0,0,0,0
0.997971602,0,0,0,0
1,0,0,0,0
0.987987988,0,0,0,0
0.993377483,0,0,0,0
1,0,0,0,0
0.956521739,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.975609756,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.981818182,0,0,0,0
1,0,0,0,0
0.987878788,0,0,0,0
0.982758621,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.983050847,0,0,0,0
0.323333333,0,0,0,0
1,0,0,0,0
0.079812207,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.993333333,0,0,0,0
0.985294118,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.985074627,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.977777778,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.925,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.914893617,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.8,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.120535714,0,0,0,0
0.958333333,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.944444444,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.994652406,0,0,0,0
1,0,0,0,0
0.983333333,0,0,0,0
0.979166667,0,0,0,0
1,0,0,0,0
0.875,0,0,0,0
0.991769547,0,0,0,0
0.991304348,0,0,0,0
1,0,0,0,0
0.940993789,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.989690722,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.997929607,0,0,0,0
0.983838384,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.993957704,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.99047619,0,0,0,0
0.993464052,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.988764045,0,0,0,0
0.988888889,0,0,0,0
0.988888889,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.984496124,0,0,0,0
0.991304348,0,0,0,0
0.953488372,0,0,0,0
0.953846154,0,0,0,0
1,0,0,0,0
0.979166667,0,0,0,0
1,0,0,0,0
0.994974874,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0.993865031,0,0,0,0
0.989130435,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
