truth_values,gaussian,adarel,sarima,svr
1,0.901160641,0.998551163,1,0.884471241
1,0.893882126,0.622738926,0.58800571,0.886758335
0.65292553,0.714186723,0.605370453,0.60455887,0.644090834
0.89289678,0.724033554,0.690473185,0.71030009,0.983214559
0.55141287,0.56875175,0.626211514,0.5782192,0.47968778
0.56728395,0.484444262,0.655125234,0.61833189,0.372244686
0.5785124,0.45278031,0.680677136,0.6546658,0.533786108
0.26804124,0.289887357,0.641333305,0.48686139,0.318882814
0.25052192,0.187670789,0.651759095,0.4946852,0.36590406
0.22222222,0.126224923,0.709472201,0.51411802,0.424779855
0.63779528,0.326783276,0.673483176,0.6338712,0.78929742
0.69019821,0.518102205,0.685459274,0.69402675,0.944760061
0.60416667,0.614301289,0.652513939,0.60593144,0.628792254
0.22651934,0.475661348,0.97688835,0.84891756,0.216933073
1,0.775522638,0.982449943,0.95734498,1
1,0.977292766,0.986662662,0.98807094,1
1,1,0.989866927,0.99664311,0.907936803
1,1,0.992309328,0.99899477,0.734984002
1,1,0.994105588,0.99973506,0.915752503
1,1,0.995451853,0.99991714,0.939578697
1,1,0.996505985,0.99996377,0.922632048
1,0.995844496,0.997308519,0.99997519,0.8797769
1,0.944820504,0.998134531,0.99999869,0.861009901
1,0.905126739,0.998627866,1,0.87398019
1,0.880052231,0.998992284,1,0.883862431
1,0.870080581,0.622660783,0.58508884,0.88906474
0.44307692,0.581689313,0.604020017,0.55560469,0.236630817
0.52309469,0.434821171,0.590522261,0.56059166,0.519631064
0.68531977,0.444228216,0.588665372,0.5749929,0.853902486
0.61020882,0.442390931,0.640964629,0.63085316,0.68924588
0.43186583,0.374229765,0.679417749,0.57870328,0.342098559
0.61212121,0.444657149,0.623172153,0.55943781,0.630097433
0.75206612,0.589242505,0.665481645,0.66624039,0.851451501
0.56950673,0.605023101,0.701032211,0.69394955,0.588882235
0.51497006,0.587568778,0.635493173,0.65085077,0.518595337
0.95479452,0.804299005,0.710369475,0.77452392,1
0.91346154,0.927193066,0.750162679,0.68983513,1
0.568,0.810448662,1,1,0.364957908
1,0.934967835,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0.868659628
1,1,1,1,0.824676183
1,0.982809729,1,1,0.889218737
1,0.954828381,1,1,0.899370549
1,0.931558545,1,1,0.881395312
1,0.915795089,1,1,0.877716548
1,0.908420897,1,0.99999746,0.880183728
1,0.909151765,1,0.99999959,0.884485584
1,0.916818668,0.619149206,0.56706286,0.887505823
0.53974895,0.686708851,0.582046402,0.58605182,0.441168777
0.40517241,0.461773556,0.594695125,0.54243871,0.398211391
0.45390071,0.346837435,0.56696592,0.49760393,0.489968336
0.62015504,0.380181685,0.626225645,0.59779087,0.655142401
0.81132076,0.53160561,0.706778056,0.70417676,0.809969587
0.61965812,0.558912924,0.653315519,0.6155182,0.686955544
0.73103448,0.647566689,0.675169955,0.66366803,0.674947775
0.57907543,0.634608857,0.713836187,0.68750054,0.701566418
0.58411215,0.626418963,0.678601281,0.6880735,0.724562157
0.7125,0.684716452,0.689425765,0.71218161,0.763069429
0.52380952,0.621011921,0.618961486,0.55160851,0.652581379
0.56069364,0.587647177,0.941418106,0.96187881,0.694761187
1,0.79005242,0.955061657,0.98879813,1
1,0.927288221,0.965305356,0.99670473,1
1,1,0.973179099,0.99907503,0.959867059
1,1,0.979334933,0.99973316,0.817167623
1,1,0.98429963,0.99992018,0.869185493
1,1,0.988288804,0.99999488,0.91407654
1,1,0.990762826,1,0.908260362
1,0.984480546,0.992321118,1,0.879522577
1,0.956244332,0.993869566,1,0.86842938
1,0.93384061,0.995103131,0.99999688,0.875009942
1,0.91886281,0.996129777,0.99999676,0.882632806
1,0.911997373,0.613381317,0.57782457,0.88761795
0.51269036,0.657293463,0.573150409,0.56321862,0.387068138
0.64326648,0.55466976,0.596545326,0.60814717,0.687664893
0.41689373,0.383373573,0.567568795,0.51546738,0.530757732
0.54307116,0.352972768,0.617862514,0.58995139,0.553634562
0.48993289,0.332517544,0.649101548,0.58987729,0.603851387
0.5879397,0.396348323,0.610144688,0.5815763,0.673301213
0.57437071,0.457402348,0.60274964,0.59630117,0.738095995
0.58139535,0.519335477,0.659986721,0.66491115,0.727027282
0.36555891,0.456611466,0.656021269,0.61809873,0.492875728
0.59245283,0.533738854,0.640522563,0.64024952,0.565618063
0.20634921,0.386030817,0.606807401,0.43126048,0.142788431
0.72222222,0.54889002,0.970592931,0.97189595,0.890586172
1,0.809634007,0.976870019,0.99087839,1
1,0.982644197,0.981780903,0.99697894,1
1,1,0.98564998,0.99897547,0.983586544
1,1,0.988766911,0.99964927,0.865202615
1,1,0.99139381,0.99991233,0.853833303
1,1,0.993212808,0.99996304,0.893898316
1,1,0.994658037,0.99998573,0.892318765
1,0.989231234,0.995778846,0.99998717,0.880575856
1,0.945263579,0.996645751,0.99998653,0.877960681
1,0.911469181,0.997334693,0.99999328,0.8808697
1,0.890364392,0.997876162,1,0.88608429
1,0.882284705,0.618048609,0.57429817,0.886222143
0.54157783,0.645847447,0.579766953,0.57636942,0.444264143
0.61168385,0.528323819,0.596142484,0.59045964,0.575407272
0.66580311,0.496456322,0.580394241,0.59190273,0.726346862
0.63318777,0.482813516,0.649180946,0.63636503,0.835291946
0.90277778,0.6392083,0.73600674,0.73655264,0.863695742
0.74120083,0.684088377,0.710534868,0.67607237,0.825872713
0.65609756,0.678941147,0.695989502,0.64996063,0.729756099
0.5755287,0.635679522,0.73500688,0.66649997,0.669156586
0.52258852,0.57780892,0.688756166,0.6692435,0.635054644
0.50851582,0.529786099,0.64472172,0.60648291,0.633320749
0.81395349,0.657330917,0.648935176,0.6405358,0.817868094
0.55108359,0.609671875,0.965825556,0.98255219,0.477870884
1,0.806799291,0.973273709,0.99445387,1
1,0.940549991,0.978978702,0.99822532,1
1,1,0.983461632,0.99943257,1
1,1,0.98716377,0.99984663,0.9526673
1,1,0.989840352,0.99995891,0.863119868
1,1,0.992341411,1,0.85690078
1,1,0.993874589,1,0.882317217
1,0.986208227,0.994910918,1,0.891132336
1,0.956458566,0.995971721,1,0.884574472
1,0.932644017,0.996694504,1,0.882498974
1,0.916739395,0.99733192,1,0.884099828
1,0.909299051,0.608400498,0.57826155,0.88512329
0.65306122,0.728381593,0.606245555,0.61119074,0.64316496
0.63333333,0.598428538,0.617460226,0.61301105,0.616275487
0.65289256,0.53348004,0.593455597,0.59213878,0.657384186
0.68992248,0.528449676,0.682710839,0.66813088,0.719096432
0.66216216,0.532047585,0.702236256,0.67832491,0.767025169
0.5601907,0.500194697,0.644892839,0.60443219,0.695200471
0.52011225,0.472534369,0.614296749,0.58077658,0.646507197
0.51452599,0.463908951,0.650431754,0.6312507,0.637356425
0.55912162,0.492669246,0.638096704,0.65189862,0.682394216
0.90762527,0.704410293,0.698234771,0.7429877,0.928711144
0.47663551,0.628309027,0.649239167,0.57513055,0.263717914
0.56190476,0.611745024,0.977393658,0.96394809,0.491200651
1,0.823905903,0.982160392,0.98894797,1
1,0.965381379,0.985815047,0.99655687,1
1,1,0.988606433,0.99894977,0.953121546
1,1,0.990736608,0.99966856,0.811232875
1,1,0.9924656,0.99989948,0.874476011
1,1,0.993761353,0.99996328,0.915870898
1,1,0.994818846,0.99998484,0.907933969
1,0.980230086,0.99570206,0.99998362,0.878513393
1,0.946374514,0.996467027,0.99997342,0.867302723
1,0.920226648,0.997117884,0.99995202,0.87396132
1,0.903676027,0.997557631,0.99993213,0.881914784
