truth_values,adarel,svr,rf
1,1,0.998797399,0.996846532
1,1,0.998797399,0.996850909
1,1,0.998797399,0.996855121
1,1,0.998797399,0.996859664
1,1,0.998797399,0.996864392
1,1,0.998797399,0.996868172
1,1,0.998797399,0.996872807
1,0.999870813,0.998797399,0.996879043
1,1,0.998797399,0.996880253
1,0.99951642,0.998797399,0.99688507
1,1,0.998797399,0.99688866
1,1,0.998797399,0.996895294
1,1,0.998797399,0.996898759
1,0.998940555,0.998797399,0.996903289
1,1,0.998797399,0.996909809
1,1,0.998797399,0.996915594
1,1,0.998797399,0.99692897
1,1,0.998797399,0.996933276
1,1,0.998797399,0.996937676
1,1,0.998797399,0.996939592
1,1,0.998797399,0.996935869
1,1,0.998797399,0.996939983
1,1,0.998797399,0.996945933
1,1,0.998797399,0.996950352
1,1,0.998797399,0.996954986
1,1,0.998797399,0.996958237
1,1,0.998797399,0.996962363
1,1,0.998797399,0.996966718
1,1,0.998797399,0.996971831
1,1,0.998797399,0.996984504
1,1,0.998797399,0.996988994
1,,0.998797399,0.99699235
1,1,0.998797399,0.996996873
1,1,0.998797399,0.997001775
1,1,0.998797399,0.997005935
1,1,0.998797399,0.997009768
1,1,0.998797399,0.997015161
1,1,0.998797399,0.997017974
1,1,0.998797399,0.997023989
1,1,0.998797399,0.997028737
1,1,0.998797399,0.997024355
1,0.997193054,0.998797399,0.997028279
1,1,0.998797399,0.997032035
1,1,0.998797399,0.997037218
1,1,0.998797399,0.997041489
1,1,0.998797399,0.997044362
1,1,0.998797399,0.997048174
1,1,0.998797399,0.997053678
1,1,0.998797399,0.997059015
1,1,0.998797399,0.997061691
1,1,0.998797399,0.997064776
1,1,0.998797399,0.997070357
1,1,0.998797399,0.997075577
1,1,0.998797399,0.997079261
1,1,0.998797399,0.997083344
1,1,0.998797399,0.997087556
1,1,0.998797399,0.997091983
1,1,0.998797399,0.997095142
1,1,0.998797399,0.997097856
1,1,0.998797399,0.997101912
1,1,0.998797399,0.99710566
1,1,0.998797399,0.997109811
1,1,0.998797399,0.997113148
1,1,0.998797399,0.997117523
1,1,0.998797399,0.99712211
1,1,0.998797399,0.997126679
1,1,0.998797399,0.997131031
1,1,0.998797399,0.9971344
1,1,0.998797399,0.997138236
1,1,0.998797399,0.997142209
1,0.999419535,0.998797399,0.997146099
1,0.999039606,0.998797399,0.997149242
1,0.99898559,0.998797399,0.997152762
1,1,0.998797399,0.997156377
1,1,0.998797399,0.997160006
1,0.999920587,0.998797399,0.997164408
1,1,0.998797399,0.99716796
1,1,0.998797399,0.997171693
1,1,0.998797399,0.997175666
1,1,0.998797399,0.997179232
1,1,0.998797399,0.997184311
1,1,0.998797399,0.997188278
1,1,0.998797399,0.997191957
1,1,0.998797399,0.997195886
1,1,0.998797399,0.997199176
1,1,0.998797399,0.997202801
1,1,0.998797399,0.997206783
1,1,0.998797399,0.997210889
1,0.999996728,0.998797399,0.997213625
1,1,0.998797399,0.997217841
1,1,0.998797399,0.997221265
1,1,0.998797399,0.997224317
1,0.999187773,0.998797399,0.997227505
1,1,0.998797399,0.997231125
1,1,0.998797399,0.997234724
1,1,0.998797399,0.997238125
