,timestamp,true value,ses,arima,svr,nn,rf,gpr,prophet,silverkite,adarel
1062,2/24/17 14:00,0.986312356,0.974111739,0.976301458,0.98808711,0.971404702,0.979946318,0.956185831,0.983211687,0.977309141,0.974746098
1063,2/24/17 15:00,0.965558548,0.980845876,0.976317226,0.987847073,0.956500335,0.979914494,0.961377483,0.986363344,0.978491985,0.981168816
1064,2/24/17 16:00,0.939947335,0.972427333,0.976339472,0.987838666,0.954877008,0.979942026,0.962234717,0.992571913,0.978195609,0.972537097
1065,2/24/17 17:00,0.938999244,0.954556272,0.97630559,0.987872098,0.959892696,0.980028009,0.958216697,0.996450118,0.978874264,0.954549032
1066,2/24/17 18:00,0.942640394,0.94597933,0.976268617,0.987470374,0.936147349,0.979865159,0.954323995,0.998416116,0.97945569,0.94594774
1067,2/24/17 19:00,0.900054176,0.944130015,0.976237346,0.987498695,0.93643452,0.97890287,0.951404819,0.99744911,0.979497869,0.944114107
1068,2/24/17 20:00,0.904164846,0.919824932,0.976142716,0.987422614,0.932333784,0.979055583,0.940872968,0.995805369,0.979083797,0.919701597
1069,2/24/17 21:00,0.897004446,0.91114838,0.976056555,0.987622234,0.947346683,0.978729885,0.932035979,0.996012338,0.979025994,0.911075857
1070,2/24/17 22:00,0.919361573,0.903304569,0.975964194,0.987628689,0.97556171,0.979628934,0.922694482,0.996937595,0.979739199,0.903243886
1071,2/24/17 23:00,0.920401848,0.912190923,0.975899586,0.987824456,0.955738391,0.978875897,0.918450787,0.995384556,0.978993221,0.91219362
1072,2/25/17 0:00,0.940618337,0.916727384,0.97583967,0.988323844,0.984360964,0.979600693,0.914907433,0.992603936,0.979253028,0.916745276
1073,2/25/17 1:00,0.991340843,0.929955436,0.975797378,0.987941959,0.962004196,0.979399218,0.915597139,0.990643397,0.977356583,0.929998255
1074,2/25/17 2:00,0.951559223,0.964030962,0.975801825,0.988260584,0.979337446,0.979477142,0.925722167,0.991173815,0.977430206,0.964249778
1075,2/25/17 3:00,0.985073288,0.957089626,0.975761059,0.988026056,0.967329006,0.979406067,0.927613815,0.993542039,0.979869592,0.957133123
1076,2/25/17 4:00,0.961916347,0.97260682,0.975753629,0.988110597,0.972939949,0.979554386,0.935537179,0.99403065,0.97858262,0.972685186
1077,2/25/17 5:00,0.970774074,0.966707722,0.975722023,0.988048244,0.970125312,0.979515254,0.938540929,0.99006804,0.979645384,0.966720531
1078,2/25/17 6:00,0.964420311,0.968984962,0.975783738,0.987784111,0.958749957,0.978953212,0.942964175,0.983158624,0.979053213,0.968998176
1079,2/25/17 7:00,0.938727632,0.966430544,0.975753409,0.988242778,0.981393204,0.979495452,0.945821755,0.977007513,0.976159613,0.966425959
1080,2/25/17 8:00,0.985522966,0.950931056,0.97569853,0.987938319,0.965710513,0.979336111,0.94372926,0.971731787,0.975371262,0.950858893
1081,2/25/17 9:00,0.955903705,0.970250067,0.97569072,0.988164019,0.977283491,0.979226625,0.950389547,0.983078445,0.978637961,0.970324707
1082,2/25/17 10:00,0.979104065,0.96224733,0.975651197,0.987782314,0.957043568,0.979256389,0.95102664,0.989600899,0.978939523,0.962233503
1083,2/25/17 11:00,0.941912258,0.971646475,0.975635402,0.987514377,0.943382173,0.978701862,0.955832753,0.986398363,0.980729138,0.971686695
1084,2/25/17 12:00,0.915299331,0.955062007,0.975582327,0.987766114,0.957654784,0.97902923,0.953364305,0.98749002,0.980195595,0.955027979
1085,2/25/17 13:00,0.940514171,0.932847485,0.975532948,0.987852828,0.963308079,0.979214344,0.946247803,0.982634211,0.980133735,0.932731113
1086,2/25/17 14:00,0.95067264,0.937136607,0.975483296,0.987861853,0.96320063,0.978065025,0.94436779,0.974535346,0.978605552,0.937088043
1087,2/25/17 15:00,0.951837223,0.944690762,0.975440431,0.987356735,0.929832366,0.979144637,0.944517732,0.975636501,0.979680689,0.944713552
1088,2/25/17 16:00,0.902655783,0.948679017,0.975418075,0.98793935,0.966741229,0.978829626,0.944885774,0.978598857,0.979398427,0.948702761
